info @storybook/react v6.3.0
info 
info => Cleaning outputDir: /var/folders/yg/3x_3zqw12q5fhdzl1cr2ss55swgn8g/T/chromatic--97293-cBiGtmOpc17G
info => Copying static files: ./public => ./
info => Loading presets
info => Compiling preview..
info => Loading 1 config file in "/Users/r.rossington/Desktop/ro/taskbox/.storybook"
info => Loading 9 other files in "/Users/r.rossington/Desktop/ro/taskbox/.storybook"
info => Adding stories defined in "/Users/r.rossington/Desktop/ro/taskbox/.storybook/main.js"
info => Loading Webpack configuration from `node_modules/react-scripts`
info => Removing existing JavaScript and TypeScript rules.
info => Modifying Create React App rules.
info => Using default Webpack4 setup
<s> [webpack.Progress] 0% compiling
<s> [webpack.Progress] 10% building 0/0 modules 0 active 
<s> [webpack.Progress] 10% building 0/1 modules 1 active multi /Users/r.rossington/Desktop/ro/taskbox/node_modules/@storybook/core-client/dist/esm/globals/polyfills.js /Users/r.rossington/Desktop/ro/taskbox/node_modules/@storybook/core-client/dist/esm/globals/globals.js /Users/r.rossington/Desktop/ro/taskbox/.storybook/storybook-init-framework-entry.js /Users/r.rossington/Desktop/ro/taskbox/node_modules/@storybook/addon-docs/dist/esm/frameworks/common/config.js-generated-other-entry.js /Users/r.rossington/Desktop/ro/taskbox/node_modules/@storybook/addon-docs/dist/esm/frameworks/react/config.js-generated-other-entry.js /Users/r.rossington/Desktop/ro/taskbox/node_modules/@storybook/addon-links/dist/esm/preset/addDecorator.js-generated-other-entry.js /Users/r.rossington/Desktop/ro/taskbox/node_modules/@storybook/addon-actions/dist/esm/preset/addDecorator.js-generated-other-entry.js /Users/r.rossington/Desktop/ro/taskbox/node_modules/@storybook/addon-actions/dist/esm/preset/addArgs.js-generated-other-entry.js /Users/r.rossington/Desktop/ro/taskbox/node_modules/@storybook/addon-backgrounds/dist/esm/preset/addDecorator.js-generated-other-entry.js /Users/r.rossington/Desktop/ro/taskbox/node_modules/@storybook/addon-backgrounds/dist/esm/preset/addParameter.js-generated-other-entry.js /Users/r.rossington/Desktop/ro/taskbox/node_modules/@storybook/addon-measure/dist/esm/preset/preview.js-generated-other-entry.js /Users/r.rossington/Desktop/ro/taskbox/node_modules/storybook-addon-outline/dist/esm/preset/addDecorator.js-generated-other-entry.js /Users/r.rossington/Desktop/ro/taskbox/.storybook/preview.js-generated-config-entry.js /Users/r.rossington/Desktop/ro/taskbox/.storybook/generated-stories-entry.js
<s> [webpack.Progress] 10% building 1/1 modules 0 active 
<s> [webpack.Progress] 43% building 277/285 modules 8 active /Users/r.rossington/Desktop/ro/taskbox/node_modules/function.prototype.name/shim.js
<s> [webpack.Progress] 43% building 277/286 modules 9 active /Users/r.rossington/Desktop/ro/taskbox/node_modules/@storybook/addon-backgrounds/dist/esm/helpers/index.js
<s> [webpack.Progress] 43% building 278/286 modules 8 active /Users/r.rossington/Desktop/ro/taskbox/node_modules/@storybook/addon-backgrounds/dist/esm/helpers/index.js
<s> [webpack.Progress] 43% building 278/287 modules 9 active /Users/r.rossington/Desktop/ro/taskbox/node_modules/object-assign/index.js
<s> [webpack.Progress] 43% building 278/288 modules 10 active /Users/r.rossington/Desktop/ro/taskbox/node_modules/core-js/internals/add-to-unscopables.js
<s> [webpack.Progress] 43% building 278/289 modules 11 active /Users/r.rossington/Desktop/ro/taskbox/node_modules/core-js/internals/array-includes.js
<s> [webpack.Progress] 43% building 279/289 modules 10 active /Users/r.rossington/Desktop/ro/taskbox/node_modules/core-js/internals/array-includes.js
<s> [webpack.Progress] 43% building 280/289 modules 9 active /Users/r.rossington/Desktop/ro/taskbox/node_modules/core-js/internals/array-includes.js
<s> [webpack.Progress] 43% building 280/290 modules 10 active /Users/r.rossington/Desktop/ro/taskbox/node_modules/@storybook/addon-docs/dist/esm/frameworks/react/lib/defaultValues/index.js
<s> [webpack.Progress] 43% building 280/291 modules 11 active /Users/r.rossington/Desktop/ro/taskbox/node_modules/core-js/internals/set-species.js
<s> [webpack.Progress] 43% building 280/292 modules 12 active /Users/r.rossington/Desktop/ro/taskbox/node_modules/core-js/internals/define-iterator.js
<s> [webpack.Progress] 43% building 280/293 modules 13 active /Users/r.rossington/Desktop/ro/taskbox/node_modules/core-js/internals/regexp-flags.js
<s> [webpack.Progress] 43% building 280/294 modules 14 active /Users/r.rossington/Desktop/ro/taskbox/node_modules/core-js/internals/regexp-sticky-helpers.js
<s> [webpack.Progress] 43% building 280/295 modules 15 active /Users/r.rossington/Desktop/ro/taskbox/node_modules/react-redux/es/components/Provider.js
<s> [webpack.Progress] 43% building 280/296 modules 16 active /Users/r.rossington/Desktop/ro/taskbox/node_modules/core-js/internals/redefine-all.js
<s> [webpack.Progress] 43% building 280/297 modules 17 active /Users/r.rossington/Desktop/ro/taskbox/node_modules/core-js/internals/object-create.js
<s> [webpack.Progress] 43% building 280/298 modules 18 active /Users/r.rossington/Desktop/ro/taskbox/node_modules/@storybook/theming/dist/esm/index.js
<s> [webpack.Progress] 43% building 280/299 modules 19 active /Users/r.rossington/Desktop/ro/taskbox/node_modules/@storybook/addon-docs/dist/esm/lib/docgen/utils/defaultValue.js
<s> [webpack.Progress] 43% building 280/300 modules 20 active /Users/r.rossington/Desktop/ro/taskbox/node_modules/@storybook/addon-docs/dist/esm/lib/utils.js
<s> [webpack.Progress] 43% building 280/301 modules 21 active /Users/r.rossington/Desktop/ro/taskbox/node_modules/@storybook/addon-docs/dist/esm/lib/docgen/typeScript/createPropDef.js
<s> [webpack.Progress] 43% building 280/302 modules 22 active /Users/r.rossington/Desktop/ro/taskbox/node_modules/@mdx-js/react/dist/esm.js
<s> [webpack.Progress] 43% building 280/303 modules 23 active /Users/r.rossington/Desktop/ro/taskbox/node_modules/core-js/internals/correct-is-regexp-logic.js
<s> [webpack.Progress] 43% building 280/304 modules 24 active /Users/r.rossington/Desktop/ro/taskbox/node_modules/core-js/internals/object-to-array.js
<s> [webpack.Progress] 43% building 280/305 modules 25 active /Users/r.rossington/Desktop/ro/taskbox/node_modules/core-js/internals/collection-weak.js
<s> [webpack.Progress] 43% building 280/306 modules 26 active /Users/r.rossington/Desktop/ro/taskbox/node_modules/uuid-browser/v4.js
<s> [webpack.Progress] 43% building 280/307 modules 27 active /Users/r.rossington/Desktop/ro/taskbox/node_modules/@storybook/addon-docs/dist/esm/lib/docgen/utils/docgenInfo.js
<s> [webpack.Progress] 43% building 281/307 modules 26 active /Users/r.rossington/Desktop/ro/taskbox/node_modules/@storybook/addon-docs/dist/esm/lib/docgen/utils/docgenInfo.js
<s> [webpack.Progress] 43% building 282/307 modules 25 active /Users/r.rossington/Desktop/ro/taskbox/node_modules/@storybook/addon-docs/dist/esm/lib/docgen/utils/docgenInfo.js
<s> [webpack.Progress] 43% building 283/307 modules 24 active /Users/r.rossington/Desktop/ro/taskbox/node_modules/@storybook/addon-docs/dist/esm/lib/docgen/utils/docgenInfo.js
<s> [webpack.Progress] 44% building 284/307 modules 23 active /Users/r.rossington/Desktop/ro/taskbox/node_modules/@storybook/addon-docs/dist/esm/lib/docgen/utils/docgenInfo.js
<s> [webpack.Progress] 44% building 284/308 modules 24 active /Users/r.rossington/Desktop/ro/taskbox/node_modules/@storybook/addon-docs/dist/esm/lib/docgen/utils/string.js
<s> [webpack.Progress] 44% building 284/309 modules 25 active /Users/r.rossington/Desktop/ro/taskbox/node_modules/core-js/internals/not-a-regexp.js
<s> [webpack.Progress] 44% building 284/310 modules 26 active /Users/r.rossington/Desktop/ro/taskbox/node_modules/lodash/_Symbol.js
<s> [webpack.Progress] 44% building 284/311 modules 27 active /Users/r.rossington/Desktop/ro/taskbox/node_modules/lodash/_objectToString.js
<s> [webpack.Progress] 44% building 284/312 modules 28 active /Users/r.rossington/Desktop/ro/taskbox/node_modules/lodash/_getRawTag.js
<s> [webpack.Progress] 44% building 285/312 modules 27 active /Users/r.rossington/Desktop/ro/taskbox/node_modules/lodash/_getRawTag.js
<s> [webpack.Progress] 44% building 285/313 modules 28 active /Users/r.rossington/Desktop/ro/taskbox/node_modules/@storybook/addon-docs/dist/esm/lib/docgen/flow/createPropDef.js
<s> [webpack.Progress] 44% building 285/314 modules 29 active /Users/r.rossington/Desktop/ro/taskbox/node_modules/core-js/internals/engine-user-agent.js
<s> [webpack.Progress] 44% building 285/315 modules 30 active /Users/r.rossington/Desktop/ro/taskbox/node_modules/lodash/_overArg.js
<s> [webpack.Progress] 44% building 286/315 modules 29 active /Users/r.rossington/Desktop/ro/taskbox/node_modules/lodash/_overArg.js
<s> [webpack.Progress] 44% building 286/316 modules 30 active /Users/r.rossington/Desktop/ro/taskbox/node_modules/core-js/internals/perform.js
<s> [webpack.Progress] 44% building 286/317 modules 31 active /Users/r.rossington/Desktop/ro/taskbox/node_modules/lodash/_baseIsMatch.js
<s> [webpack.Progress] 44% building 286/318 modules 32 active /Users/r.rossington/Desktop/ro/taskbox/node_modules/lodash/_createBaseFor.js
<s> [webpack.Progress] 44% building 286/319 modules 33 active /Users/r.rossington/Desktop/ro/taskbox/node_modules/lodash/_getNative.js
<s> [webpack.Progress] 44% building 287/319 modules 32 active /Users/r.rossington/Desktop/ro/taskbox/node_modules/lodash/_getNative.js
<s> [webpack.Progress] 44% building 288/319 modules 31 active /Users/r.rossington/Desktop/ro/taskbox/node_modules/lodash/_getNative.js
<s> [webpack.Progress] 44% building 289/319 modules 30 active /Users/r.rossington/Desktop/ro/taskbox/node_modules/lodash/_getNative.js
<s> [webpack.Progress] 44% building 289/320 modules 31 active /Users/r.rossington/Desktop/ro/taskbox/node_modules/lodash/_arrayLikeKeys.js
<s> [webpack.Progress] 44% building 290/320 modules 30 active /Users/r.rossington/Desktop/ro/taskbox/node_modules/lodash/_arrayLikeKeys.js
<s> [webpack.Progress] 44% building 290/321 modules 31 active /Users/r.rossington/Desktop/ro/taskbox/node_modules/lodash/_baseProperty.js
<s> [webpack.Progress] 44% building 290/322 modules 32 active /Users/r.rossington/Desktop/ro/taskbox/node_modules/core-js/internals/inspect-source.js
<s> [webpack.Progress] 44% building 291/322 modules 31 active /Users/r.rossington/Desktop/ro/taskbox/node_modules/core-js/internals/inspect-source.js
<s> [webpack.Progress] 44% building 291/323 modules 32 active /Users/r.rossington/Desktop/ro/taskbox/node_modules/lodash/_toKey.js
<s> [webpack.Progress] 45% building 292/323 modules 31 active /Users/r.rossington/Desktop/ro/taskbox/node_modules/lodash/_toKey.js
<s> [webpack.Progress] 45% building 293/323 modules 30 active /Users/r.rossington/Desktop/ro/taskbox/node_modules/lodash/_toKey.js
<s> [webpack.Progress] 45% building 294/323 modules 29 active /Users/r.rossington/Desktop/ro/taskbox/node_modules/lodash/_toKey.js
<s> [webpack.Progress] 45% building 294/324 modules 30 active /Users/r.rossington/Desktop/ro/taskbox/node_modules/core-js/internals/set-global.js
<s> [webpack.Progress] 45% building 294/325 modules 31 active /Users/r.rossington/Desktop/ro/taskbox/node_modules/lodash/_isKey.js
<s> [webpack.Progress] 45% building 295/325 modules 30 active /Users/r.rossington/Desktop/ro/taskbox/node_modules/lodash/_isKey.js
<s> [webpack.Progress] 45% building 296/325 modules 29 active /Users/r.rossington/Desktop/ro/taskbox/node_modules/lodash/_isKey.js
<s> [webpack.Progress] 45% building 296/326 modules 30 active /Users/r.rossington/Desktop/ro/taskbox/node_modules/@storybook/core/client.js
<s> [webpack.Progress] 45% building 297/326 modules 29 active /Users/r.rossington/Desktop/ro/taskbox/node_modules/@storybook/core/client.js
<s> [webpack.Progress] 45% building 298/326 modules 28 active /Users/r.rossington/Desktop/ro/taskbox/node_modules/@storybook/core/client.js
<s> [webpack.Progress] 45% building 299/326 modules 27 active /Users/r.rossington/Desktop/ro/taskbox/node_modules/@storybook/core/client.js
<s> [webpack.Progress] 46% building 300/326 modules 26 active /Users/r.rossington/Desktop/ro/taskbox/node_modules/@storybook/core/client.js
<s> [webpack.Progress] 46% building 301/326 modules 25 active /Users/r.rossington/Desktop/ro/taskbox/node_modules/@storybook/core/client.js
<s> [webpack.Progress] 46% building 302/326 modules 24 active /Users/r.rossington/Desktop/ro/taskbox/node_modules/@storybook/core/client.js
<s> [webpack.Progress] 46% building 303/326 modules 23 active /Users/r.rossington/Desktop/ro/taskbox/node_modules/@storybook/core/client.js
<s> [webpack.Progress] 46% building 304/326 modules 22 active /Users/r.rossington/Desktop/ro/taskbox/node_modules/@storybook/core/client.js
<s> [webpack.Progress] 46% building 304/327 modules 23 active /Users/r.rossington/Desktop/ro/taskbox/node_modules/react-redux/es/hooks/useStore.js
<s> [webpack.Progress] 46% building 305/327 modules 22 active /Users/r.rossington/Desktop/ro/taskbox/node_modules/react-redux/es/hooks/useStore.js
<s> [webpack.Progress] 46% building 306/327 modules 21 active /Users/r.rossington/Desktop/ro/taskbox/node_modules/react-redux/es/hooks/useStore.js
<s> [webpack.Progress] 46% building 307/327 modules 20 active /Users/r.rossington/Desktop/ro/taskbox/node_modules/react-redux/es/hooks/useStore.js
<s> [webpack.Progress] 46% building 307/328 modules 21 active /Users/r.rossington/Desktop/ro/taskbox/node_modules/core-js/internals/array-iteration.js
<s> [webpack.Progress] 46% building 307/329 modules 22 active /Users/r.rossington/Desktop/ro/taskbox/node_modules/airbnb-js-shims/target/es2017.js
<s> [webpack.Progress] 46% building 307/330 modules 23 active /Users/r.rossington/Desktop/ro/taskbox/node_modules/core-js/modules/web.url-search-params.js
<s> [webpack.Progress] 46% building 307/331 modules 24 active /Users/r.rossington/Desktop/ro/taskbox/node_modules/core-js/internals/string-punycode-to-ascii.js
<s> [webpack.Progress] 46% building 308/331 modules 23 active /Users/r.rossington/Desktop/ro/taskbox/node_modules/core-js/internals/string-punycode-to-ascii.js
<s> [webpack.Progress] 46% building 308/332 modules 24 active /Users/r.rossington/Desktop/ro/taskbox/node_modules/core-js/internals/object-define-properties.js
<s> [webpack.Progress] 47% building 309/332 modules 23 active /Users/r.rossington/Desktop/ro/taskbox/node_modules/core-js/internals/object-define-properties.js
<s> [webpack.Progress] 47% building 310/332 modules 22 active /Users/r.rossington/Desktop/ro/taskbox/node_modules/core-js/internals/object-define-properties.js
<s> [webpack.Progress] 47% building 311/332 modules 21 active /Users/r.rossington/Desktop/ro/taskbox/node_modules/core-js/internals/object-define-properties.js
<s> [webpack.Progress] 47% building 312/332 modules 20 active /Users/r.rossington/Desktop/ro/taskbox/node_modules/core-js/internals/object-define-properties.js
<s> [webpack.Progress] 47% building 313/332 modules 19 active /Users/r.rossington/Desktop/ro/taskbox/node_modules/core-js/internals/object-define-properties.js
<s> [webpack.Progress] 47% building 314/332 modules 18 active /Users/r.rossington/Desktop/ro/taskbox/node_modules/core-js/internals/object-define-properties.js
<s> [webpack.Progress] 47% building 315/332 modules 17 active /Users/r.rossington/Desktop/ro/taskbox/node_modules/core-js/internals/object-define-properties.js
<s> [webpack.Progress] 47% building 315/333 modules 18 active /Users/r.rossington/Desktop/ro/taskbox/node_modules/redux/es/redux.js
<s> [webpack.Progress] 47% building 315/334 modules 19 active /Users/r.rossington/Desktop/ro/taskbox/node_modules/core-js/internals/native-url.js
<s> [webpack.Progress] 47% building 315/335 modules 20 active /Users/r.rossington/Desktop/ro/taskbox/node_modules/core-js/internals/to-length.js
<s> [webpack.Progress] 47% building 315/336 modules 21 active /Users/r.rossington/Desktop/ro/taskbox/node_modules/core-js/internals/advance-string-index.js
<s> [webpack.Progress] 47% building 315/337 modules 22 active /Users/r.rossington/Desktop/ro/taskbox/node_modules/lodash/_baseIsEqual.js
<s> [webpack.Progress] 47% building 316/337 modules 21 active /Users/r.rossington/Desktop/ro/taskbox/node_modules/lodash/_baseIsEqual.js
<s> [webpack.Progress] 48% building 317/337 modules 20 active /Users/r.rossington/Desktop/ro/taskbox/node_modules/lodash/_baseIsEqual.js
<s> [webpack.Progress] 48% building 318/337 modules 19 active /Users/r.rossington/Desktop/ro/taskbox/node_modules/lodash/_baseIsEqual.js
<s> [webpack.Progress] 48% building 319/337 modules 18 active /Users/r.rossington/Desktop/ro/taskbox/node_modules/lodash/_baseIsEqual.js
<s> [webpack.Progress] 48% building 319/338 modules 19 active /Users/r.rossington/Desktop/ro/taskbox/node_modules/lodash/_createCompounder.js
<s> [webpack.Progress] 48% building 320/338 modules 18 active /Users/r.rossington/Desktop/ro/taskbox/node_modules/lodash/_createCompounder.js
<s> [webpack.Progress] 48% building 321/338 modules 17 active /Users/r.rossington/Desktop/ro/taskbox/node_modules/lodash/_createCompounder.js
<s> [webpack.Progress] 48% building 322/338 modules 16 active /Users/r.rossington/Desktop/ro/taskbox/node_modules/lodash/_createCompounder.js
<s> [webpack.Progress] 48% building 323/338 modules 15 active /Users/r.rossington/Desktop/ro/taskbox/node_modules/lodash/_createCompounder.js
<s> [webpack.Progress] 48% building 324/338 modules 14 active /Users/r.rossington/Desktop/ro/taskbox/node_modules/lodash/_createCompounder.js
<s> [webpack.Progress] 49% building 325/338 modules 13 active /Users/r.rossington/Desktop/ro/taskbox/node_modules/lodash/_createCompounder.js
<s> [webpack.Progress] 49% building 325/339 modules 14 active /Users/r.rossington/Desktop/ro/taskbox/node_modules/lodash/upperFirst.js
<s> [webpack.Progress] 49% building 326/339 modules 13 active /Users/r.rossington/Desktop/ro/taskbox/node_modules/lodash/upperFirst.js
<s> [webpack.Progress] 49% building 326/340 modules 14 active /Users/r.rossington/Desktop/ro/taskbox/node_modules/core-js/internals/object-keys-internal.js
<s> [webpack.Progress] 49% building 326/341 modules 15 active /Users/r.rossington/Desktop/ro/taskbox/node_modules/core-js/modules/es.string.starts-with.js
<s> [webpack.Progress] 49% building 326/342 modules 16 active /Users/r.rossington/Desktop/ro/taskbox/node_modules/core-js/modules/es.string.ends-with.js
<s> [webpack.Progress] 49% building 326/343 modules 17 active /Users/r.rossington/Desktop/ro/taskbox/node_modules/core-js/internals/enum-bug-keys.js
<s> [webpack.Progress] 49% building 327/343 modules 16 active /Users/r.rossington/Desktop/ro/taskbox/node_modules/core-js/internals/enum-bug-keys.js
<s> [webpack.Progress] 49% building 327/344 modules 17 active /Users/r.rossington/Desktop/ro/taskbox/node_modules/core-js/internals/object-set-prototype-of.js
<s> [webpack.Progress] 49% building 328/344 modules 16 active /Users/r.rossington/Desktop/ro/taskbox/node_modules/core-js/internals/object-set-prototype-of.js
<s> [webpack.Progress] 49% building 328/345 modules 17 active /Users/r.rossington/Desktop/ro/taskbox/node_modules/core-js/internals/iterator-close.js
<s> [webpack.Progress] 49% building 329/345 modules 16 active /Users/r.rossington/Desktop/ro/taskbox/node_modules/core-js/internals/iterator-close.js
<s> [webpack.Progress] 49% building 330/345 modules 15 active /Users/r.rossington/Desktop/ro/taskbox/node_modules/core-js/internals/iterator-close.js
<s> [webpack.Progress] 49% building 330/346 modules 16 active /Users/r.rossington/Desktop/ro/taskbox/node_modules/prop-types/lib/ReactPropTypesSecret.js
<s> [webpack.Progress] 49% building 330/347 modules 17 active /Users/r.rossington/Desktop/ro/taskbox/node_modules/core-js/internals/get-iterator-method.js
<s> [webpack.Progress] 49% building 331/347 modules 16 active /Users/r.rossington/Desktop/ro/taskbox/node_modules/core-js/internals/get-iterator-method.js
<s> [webpack.Progress] 49% building 331/348 modules 17 active /Users/r.rossington/Desktop/ro/taskbox/node_modules/core-js/internals/freezing.js
<s> [webpack.Progress] 49% building 331/349 modules 18 active /Users/r.rossington/Desktop/ro/taskbox/node_modules/core-js/internals/is-array-iterator-method.js
<s> [webpack.Progress] 49% building 332/349 modules 17 active /Users/r.rossington/Desktop/ro/taskbox/node_modules/core-js/internals/is-array-iterator-method.js
<s> [webpack.Progress] 49% building 332/350 modules 18 active /Users/r.rossington/Desktop/ro/taskbox/node_modules/es6-shim/es6-shim.js
<s> [webpack.Progress] 49% building 333/350 modules 17 active /Users/r.rossington/Desktop/ro/taskbox/node_modules/es6-shim/es6-shim.js
<s> [webpack.Progress] 50% building 334/350 modules 16 active /Users/r.rossington/Desktop/ro/taskbox/node_modules/es6-shim/es6-shim.js
<s> [webpack.Progress] 50% building 335/350 modules 15 active /Users/r.rossington/Desktop/ro/taskbox/node_modules/es6-shim/es6-shim.js
<s> [webpack.Progress] 50% building 336/350 modules 14 active /Users/r.rossington/Desktop/ro/taskbox/node_modules/es6-shim/es6-shim.js
<s> [webpack.Progress] 50% building 337/350 modules 13 active /Users/r.rossington/Desktop/ro/taskbox/node_modules/es6-shim/es6-shim.js
<s> [webpack.Progress] 50% building 337/351 modules 14 active /Users/r.rossington/Desktop/ro/taskbox/node_modules/@storybook/channels/dist/esm/index.js
<s> [webpack.Progress] 50% building 337/352 modules 15 active /Users/r.rossington/Desktop/ro/taskbox/node_modules/airbnb-js-shims/node_modules/array-includes/shim.js
<s> [webpack.Progress] 50% building 338/352 modules 14 active /Users/r.rossington/Desktop/ro/taskbox/node_modules/airbnb-js-shims/node_modules/array-includes/shim.js
<s> [webpack.Progress] 50% building 338/353 modules 15 active /Users/r.rossington/Desktop/ro/taskbox/node_modules/lodash/_matchesStrictComparable.js
<s> [webpack.Progress] 50% building 338/354 modules 16 active /Users/r.rossington/Desktop/ro/taskbox/node_modules/lodash/_isStrictComparable.js
<s> [webpack.Progress] 50% building 339/354 modules 15 active /Users/r.rossington/Desktop/ro/taskbox/node_modules/lodash/_isStrictComparable.js
<s> [webpack.Progress] 50% building 339/355 modules 16 active /Users/r.rossington/Desktop/ro/taskbox/node_modules/lodash/hasIn.js
<s> [webpack.Progress] 50% building 339/356 modules 17 active /Users/r.rossington/Desktop/ro/taskbox/node_modules/lodash/get.js
<s> [webpack.Progress] 50% building 340/356 modules 16 active /Users/r.rossington/Desktop/ro/taskbox/node_modules/lodash/get.js
<s> [webpack.Progress] 50% building 341/356 modules 15 active /Users/r.rossington/Desktop/ro/taskbox/node_modules/lodash/get.js
<s> [webpack.Progress] 50% building 341/357 modules 16 active /Users/r.rossington/Desktop/ro/taskbox/node_modules/core-js/internals/species-constructor.js
<s> [webpack.Progress] 51% building 342/357 modules 15 active /Users/r.rossington/Desktop/ro/taskbox/node_modules/core-js/internals/species-constructor.js
<s> [webpack.Progress] 51% building 343/357 modules 14 active /Users/r.rossington/Desktop/ro/taskbox/node_modules/core-js/internals/species-constructor.js
<s> [webpack.Progress] 51% building 343/358 modules 15 active /Users/r.rossington/Desktop/ro/taskbox/node_modules/function.prototype.name/polyfill.js
<s> [webpack.Progress] 51% building 344/358 modules 14 active /Users/r.rossington/Desktop/ro/taskbox/node_modules/function.prototype.name/polyfill.js
<s> [webpack.Progress] 51% building 344/359 modules 15 active /Users/r.rossington/Desktop/ro/taskbox/node_modules/escodegen/escodegen.js
<s> [webpack.Progress] 51% building 345/359 modules 14 active /Users/r.rossington/Desktop/ro/taskbox/node_modules/escodegen/escodegen.js
<s> [webpack.Progress] 51% building 346/359 modules 13 active /Users/r.rossington/Desktop/ro/taskbox/node_modules/escodegen/escodegen.js
<s> [webpack.Progress] 51% building 347/359 modules 12 active /Users/r.rossington/Desktop/ro/taskbox/node_modules/escodegen/escodegen.js
<s> [webpack.Progress] 51% building 348/359 modules 11 active /Users/r.rossington/Desktop/ro/taskbox/node_modules/escodegen/escodegen.js
<s> [webpack.Progress] 51% building 348/360 modules 12 active /Users/r.rossington/Desktop/ro/taskbox/node_modules/core-js/internals/to-absolute-index.js
<s> [webpack.Progress] 51% building 349/360 modules 11 active /Users/r.rossington/Desktop/ro/taskbox/node_modules/core-js/internals/to-absolute-index.js
<s> [webpack.Progress] 52% building 350/360 modules 10 active /Users/r.rossington/Desktop/ro/taskbox/node_modules/core-js/internals/to-absolute-index.js
<s> [webpack.Progress] 52% building 350/361 modules 11 active /Users/r.rossington/Desktop/ro/taskbox/node_modules/@storybook/addon-docs/dist/esm/frameworks/react/lib/inspection/index.js
<s> [webpack.Progress] 52% building 350/362 modules 12 active /Users/r.rossington/Desktop/ro/taskbox/node_modules/@storybook/addon-docs/dist/esm/frameworks/react/lib/defaultValues/createDefaultValue.js
<s> [webpack.Progress] 52% building 350/363 modules 13 active /Users/r.rossington/Desktop/ro/taskbox/node_modules/core-js/internals/get-built-in.js
<s> [webpack.Progress] 52% building 350/364 modules 14 active /Users/r.rossington/Desktop/ro/taskbox/node_modules/@storybook/addon-docs/dist/esm/frameworks/react/lib/defaultValues/createFromRawDefaultProp.js
<s> [webpack.Progress] 52% building 350/365 modules 15 active /Users/r.rossington/Desktop/ro/taskbox/node_modules/core-js/internals/iterators-core.js
<s> [webpack.Progress] 52% building 350/366 modules 16 active /Users/r.rossington/Desktop/ro/taskbox/node_modules/core-js/internals/iterators.js
<s> [webpack.Progress] 52% building 350/367 modules 17 active /Users/r.rossington/Desktop/ro/taskbox/node_modules/core-js/internals/create-iterator-constructor.js
<s> [webpack.Progress] 52% building 350/368 modules 18 active /Users/r.rossington/Desktop/ro/taskbox/node_modules/core-js/internals/object-get-prototype-of.js
<s> [webpack.Progress] 52% building 350/369 modules 19 active /Users/r.rossington/Desktop/ro/taskbox/node_modules/core-js/internals/is-regexp.js
<s> [webpack.Progress] 52% building 350/370 modules 20 active /Users/r.rossington/Desktop/ro/taskbox/node_modules/lodash/_basePropertyDeep.js
<s> [webpack.Progress] 52% building 350/371 modules 21 active /Users/r.rossington/Desktop/ro/taskbox/node_modules/react-redux/es/utils/useIsomorphicLayoutEffect.js
<s> [webpack.Progress] 52% building 350/372 modules 22 active /Users/r.rossington/Desktop/ro/taskbox/node_modules/react-redux/es/utils/Subscription.js
<s> [webpack.Progress] 52% building 351/372 modules 21 active /Users/r.rossington/Desktop/ro/taskbox/node_modules/react-redux/es/utils/Subscription.js
<s> [webpack.Progress] 52% building 351/373 modules 22 active /Users/r.rossington/Desktop/ro/taskbox/node_modules/core-js/internals/html.js
<s> [webpack.Progress] 52% building 352/373 modules 21 active /Users/r.rossington/Desktop/ro/taskbox/node_modules/core-js/internals/html.js
<s> [webpack.Progress] 52% building 353/373 modules 20 active /Users/r.rossington/Desktop/ro/taskbox/node_modules/core-js/internals/html.js
<s> [webpack.Progress] 52% building 353/374 modules 21 active /Users/r.rossington/Desktop/ro/taskbox/node_modules/@storybook/addon-docs/dist/esm/lib/docgen/typeScript/createDefaultValue.js
<s> [webpack.Progress] 52% building 353/375 modules 22 active /Users/r.rossington/Desktop/ro/taskbox/node_modules/@storybook/addon-docs/dist/esm/lib/docgen/typeScript/createType.js
<s> [webpack.Progress] 52% building 353/376 modules 23 active /Users/r.rossington/Desktop/ro/taskbox/node_modules/@storybook/addon-docs/dist/esm/lib/convert/index.js
<s> [webpack.Progress] 52% building 354/376 modules 22 active /Users/r.rossington/Desktop/ro/taskbox/node_modules/@storybook/addon-docs/dist/esm/lib/convert/index.js
<s> [webpack.Progress] 52% building 355/376 modules 21 active /Users/r.rossington/Desktop/ro/taskbox/node_modules/@storybook/addon-docs/dist/esm/lib/convert/index.js
<s> [webpack.Progress] 52% building 356/376 modules 20 active /Users/r.rossington/Desktop/ro/taskbox/node_modules/@storybook/addon-docs/dist/esm/lib/convert/index.js
<s> [webpack.Progress] 52% building 356/377 modules 21 active /Users/r.rossington/Desktop/ro/taskbox/node_modules/core-js/modules/es.reflect.construct.js
<s> [webpack.Progress] 52% building 357/377 modules 20 active /Users/r.rossington/Desktop/ro/taskbox/node_modules/core-js/modules/es.reflect.construct.js
<s> [webpack.Progress] 52% building 357/378 modules 21 active /Users/r.rossington/Desktop/ro/taskbox/node_modules/@storybook/theming/dist/esm/utils.js
<s> [webpack.Progress] 52% building 357/379 modules 22 active /Users/r.rossington/Desktop/ro/taskbox/node_modules/@storybook/theming/dist/esm/ensure.js
<s> [webpack.Progress] 52% building 357/380 modules 23 active /Users/r.rossington/Desktop/ro/taskbox/node_modules/lodash/_root.js
<s> [webpack.Progress] 52% building 357/381 modules 24 active /Users/r.rossington/Desktop/ro/taskbox/node_modules/@storybook/theming/dist/esm/convert.js
